Z,A,ZAID,symbol,mass,decay,abundance
0,1,1,n1,1.0086649159442402,879.7554359340899,
1,1,1001,H1,1.0078250318977713,,99.9855
1,2,1002,H2,2.0141017778436963,,0.0145
1,3,1003,H3,3.016049281322562,560520955.572724,
1,4,1004,H4,4.0264306557992295,6324059482.516934,
1,5,1005,H5,5.035308865525454,3912727449.6147943,
1,6,1006,H6,6.044960027005351,13376068257.98546,
1,7,1007,H7,7.052753957188227,29663933687.77728,
2,3,2003,He3,3.0160293219691408,,0.0002
2,4,2004,He4,4.002603254130872,,99.9998
2,5,2005,He5,5.012056973813206,27389092147.30356,
2,6,2006,He6,6.018885895202503,1.1641394823941225,
2,7,2007,He7,7.027990515379908,3.6211645526312974e-21,
2,8,2008,He8,8.033934385540366,0.17240205738623116,
2,9,2009,He9,9.043950895549166,3.606737602222408e-21,
2,10,2010,He10,10.052818369834366,11829176010.463331,
3,3,3003,Li3,3.030778509413644,,
3,4,3004,Li4,4.027182136670857,4140211603.662166,
3,5,3005,Li5,5.01253899511515,16833827399.50551,
3,6,3006,Li6,6.015122887373571,,4.85
3,6,30066,Li6i,6.018947795755444,8.079092228978195e-17,
3,7,3007,Li7,7.016003434655483,,95.15
3,7,30076,Li7i,7.028073178275786,,
3,8,3008,Li8,8.02248624005847,1.2099883307935737,
3,8,30086,Li8i,8.034104349042645,,
3,9,3009,Li9,9.02679019645454,0.2570882562864133,
3,10,3010,Li10,10.035483853214133,2.8853900817779267e-21,
3,10,30101,Li10m,10.03569534140229,5.337971651289165e-21,
3,10,30102,Li10n,10.035995933750941,1.9476383052001006e-21,
3,11,3011,Li11,11.043723626262704,0.012623581607778432,
3,12,3012,Li12,12.052614396454924,,
3,13,3013,Li13,13.061170542950451,4.760893634933578e-21,
4,5,4005,Be5,5.039871427960333,,
4,6,4006,Be6,6.019726372880213,7.213475204444817e-21,
4,7,4007,Be7,7.016928716949556,6633811.878575959,
4,7,40076,Be7i,7.028717304737181,,
4,8,4008,Be8,8.005305100684135,1.1815672384880611e-16,
4,8,40086,Be8i,8.023154199198935,,
4,8,40087,Be8j,8.034821476502998,,
4,9,4009,Be9,9.012183061568024,,100.0
4,9,40096,Be9i,9.02763173694091,1.8033688011112046e-18,
